type,bin,hop,effect_pct,ci_low_pct,ci_high_pct,n_events,n_obs
Music,pre1,0,27.872309653955686,-3.9769368868197708,70.28541942016773,87,87
Music,pre2,0,7.81136714724695,-19.039378720824708,43.56721456074377,87,87
Music,pre3,0,-8.383073230369764,-31.177892985356326,21.961701476617424,87,87
Music,during,1,4.357241629576802,-6.303249532738597,16.230646486924915,87,623
Music,post1,1,250.8531935843269,190.69647749533056,323.45873781803397,87,206
Music,post2,1,164.45145269467295,118.38750797668989,220.23155298693862,87,197
Music,pre1,1,17.277537126110044,-2.6556775301621482,41.29247978101447,87,211
Music,pre2,1,2.3460735598898497,-15.04757330484493,23.300995399626025,87,211
Music,pre3,1,-7.911114213220638,-23.5514812302565,10.92906732428176,87,211
Music,during,2,8.59320467530087,-2.217925075855942,20.59965091556899,87,693
Music,post1,2,61.824800865141725,34.64971389319871,94.48438038133492,87,228
Music,post2,2,31.647532521582498,8.928231482853155,59.105427335881004,87,212
Music,pre1,2,13.991174077434065,-4.869941480207752,36.59181934433917,87,237
Music,pre2,2,4.358903531905645,-12.904719193202862,25.04444150700349,87,237
Music,pre3,2,8.149626363154772,-9.739703379528065,29.584569521978878,87,237
closure,during,0,-74.45003877904333,-87.46666388652761,-47.914863809430706,26,112
closure,post1,0,7.702250190519888,-34.6157853998324,77.40940633814093,26,37
closure,post2,0,0.43095337312408777,-39.884032873965594,67.78198667732185,26,35
closure,pre1,0,-23.969045210367344,-52.67576819084818,22.15108127978653,26,41
closure,pre2,0,0.040719931569865864,-38.09815765683802,61.67767009171021,26,40
closure,pre3,0,1.380399815702571,-38.04799003902362,65.9023730346411,26,38
closure,during,1,-1.4372522354424544,-19.379862340338406,20.498618941958412,26,227
closure,post1,1,-0.12063601366444354,-28.80125713577154,40.11325128785344,26,80
closure,post2,1,1.796194745010693,-28.5790762205803,45.09004807286097,26,73
closure,pre1,1,-5.775664608756426,-31.89209837879683,30.355291656168305,26,87
closure,pre2,1,3.881854787878769,-25.195908046193495,44.26269301997448,26,85
closure,pre3,1,-6.172473088063146,-32.97496302278896,31.34800372290012,26,81
closure,during,2,2.103975142457881,-15.529726549210586,23.418823143329483,26,255
closure,post1,2,-3.2251169140993796,-29.665827188055637,33.155443817194886,26,90
closure,post2,2,1.9836151504950772,-27.157349902285066,42.7825284392084,26,81
closure,pre1,2,0.16138535776895058,-26.463151523128204,36.42552440825324,26,96
closure,pre2,2,0.584087324534277,-26.393886030454393,37.44997633070932,26,94
closure,pre3,2,-14.660318491521561,-37.97671755794552,17.421409400132614,26,90
