type,event_id,bin,dev_log,dev_se,total_effect_pct,name,start,attendance
Music,ev_13,post2,-0.004347534298806689,0.08947318707654978,370.4146229654348,Helene Fischer - 360° Stadion Tour 2026,2026-06-13 19:30:00,2231
Music,ev_14,pre3,0.0011782697725288363,0.08802490329970657,-8.275060153129532,Helene Fischer - 360° Stadion Tour 2026 - VIP Packages,2026-06-13 19:30:00,1718
Music,ev_14,pre2,-0.0007212770547587762,0.08799914242494267,7.733633319064825,Helene Fischer - 360° Stadion Tour 2026 - VIP Packages,2026-06-13 19:30:00,1718
Music,ev_14,pre1,0.00011358403684633944,0.08821671488768339,27.886834731979924,Helene Fischer - 360° Stadion Tour 2026 - VIP Packages,2026-06-13 19:30:00,1718
Music,ev_14,during,0.0023727873906910064,0.08707766220125576,11.484430782004718,Helene Fischer - 360° Stadion Tour 2026 - VIP Packages,2026-06-13 19:30:00,1718
Music,ev_14,post1,-0.0024277658157461405,0.08922719171841541,452.7372163803332,Helene Fischer - 360° Stadion Tour 2026 - VIP Packages,2026-06-13 19:30:00,1718
Music,ev_14,post2,-0.00434753429880668,0.08947318707654973,370.4146229654348,Helene Fischer - 360° Stadion Tour 2026 - VIP Packages,2026-06-13 19:30:00,1718
Music,ev_15,pre3,0.0011782697725288384,0.08802490329970696,-8.275060153129532,Helene Fischer - 360° Stadion Tour 2026 |  Business Seat Package,2026-06-13 19:30:00,2108
Music,ev_15,pre2,-0.0007212770547587732,0.08799914242494292,7.733633319064825,Helene Fischer - 360° Stadion Tour 2026 |  Business Seat Package,2026-06-13 19:30:00,2108
Music,ev_15,pre1,0.00011358403684633936,0.08821671488768326,27.886834731979924,Helene Fischer - 360° Stadion Tour 2026 |  Business Seat Package,2026-06-13 19:30:00,2108
Music,ev_15,during,0.0023727873906910033,0.08707766220125583,11.484430782004718,Helene Fischer - 360° Stadion Tour 2026 |  Business Seat Package,2026-06-13 19:30:00,2108
Music,ev_15,post1,-0.0024277658157461483,0.08922719171841524,452.7372163803332,Helene Fischer - 360° Stadion Tour 2026 |  Business Seat Package,2026-06-13 19:30:00,2108
Music,ev_15,post2,-0.004347534298806696,0.08947318707654957,370.4146229654348,Helene Fischer - 360° Stadion Tour 2026 |  Business Seat Package,2026-06-13 19:30:00,2108
Music,ev_17,pre3,-0.0047895663557446415,0.08800970543856663,-8.820829412459819,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-13 20:00:00,1703
Music,ev_17,pre2,-0.0015067503341534463,0.0879839533059594,7.649044654217629,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-13 20:00:00,1703
Music,ev_17,pre1,-0.001606703619048445,0.08820140624244699,27.667021713859242,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-13 20:00:00,1703
Music,ev_17,during,-0.0015314268306464767,0.08702889487712429,11.050020249582992,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-13 20:00:00,1703
Music,ev_17,post1,0.0038657095718400945,0.08921105953945246,456.2268238086825,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-13 20:00:00,1703
Music,ev_17,post2,0.005013535934237716,0.08945676989717183,374.8388828856096,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-13 20:00:00,1703
Arts & Theatre,ev_18,pre3,0.0002449091827433089,0.09305884315732675,130.05369344243843,Cirque du Soleil ALIZÉ,2026-06-14 13:00:00,614
Arts & Theatre,ev_18,pre2,-0.00663714413162845,0.09298683599176483,147.14093479108533,Cirque du Soleil ALIZÉ,2026-06-14 13:00:00,614
Arts & Theatre,ev_18,pre1,-0.001128825478794464,0.09333405973413082,147.50498416363035,Cirque du Soleil ALIZÉ,2026-06-14 13:00:00,614
Arts & Theatre,ev_18,during,0.021952110880080603,0.10312884439081621,115.27884477864391,Cirque du Soleil ALIZÉ,2026-06-14 13:00:00,614
Arts & Theatre,ev_18,post1,0.010981073561855674,0.09403313844069887,302.51505741307267,Cirque du Soleil ALIZÉ,2026-06-14 13:00:00,614
Arts & Theatre,ev_18,post2,0.011980471136858534,0.09369588859414918,251.69505935640112,Cirque du Soleil ALIZÉ,2026-06-14 13:00:00,614
Arts & Theatre,ev_19,pre3,0.013471266140021905,0.09306150225619035,133.11667711678595,Cirque du Soleil ALIZÉ,2026-06-14 17:00:00,539
Arts & Theatre,ev_19,pre2,0.010737847116037447,0.09298965593086324,151.4725280962774,Cirque du Soleil ALIZÉ,2026-06-14 17:00:00,539
Arts & Theatre,ev_19,pre1,0.011888514821446329,0.09333690777568239,150.74790205851158,Cirque du Soleil ALIZÉ,2026-06-14 17:00:00,539
Arts & Theatre,ev_19,during,-0.006083319623856669,0.10312954627161859,109.32722758061577,Cirque du Soleil ALIZÉ,2026-06-14 17:00:00,539
